Passengers,Fare,Itinerary,Subs Itinerary 1,Subs Itinerary 2,Subs Itinerary 3
1,163.0,"(704,)",,,
1,163.0,"(189,)","(190,)",,
1,163.0,"(143,)","(144,)",,
2,163.0,"(223,)",,,
1,163.0,"(237,)",,,
1,163.0,"(660,)",,,
1,163.0,"(202,)",,,
1,163.0,"(350,)",,,
2,163.0,"(604,)",,,
8,163.0,"(121,)",,,
1,163.0,"(571,)",,,
1,163.0,"(479,)",,,
1,163.0,"(559,)",,,
1,163.0,"(330,)",,,
1,163.0,"(560,)",,,
1,163.0,"(382,)",,,
2,163.0,"(591,)",,,
2,163.0,"(724,)",,,
2,163.0,"(223,)",,,
2,163.0,"(604,)",,,
1,163.0,"(282,)",,,
1,163.0,"(146,)","(147,)",,
1,163.0,"(191,)",,,
1,163.0,"(509,)",,,
1,163.0,"(30,)",,,
1,163.0,"(514,)",,,
2,163.0,"(517,)",,,
1,163.0,"(373,)",,,
1,163.0,"(457,)",,,
1,163.0,"(350,)",,,
1,163.0,"(206,)",,,
1,163.0,"(32,)",,,
5,48.5,"(737,)",,,
7,48.5,"(735,)",,,
7,48.5,"(247,)",,,
2,48.5,"(756,)",,,
2,48.5,"(327,)",,,
13,48.5,"(755,)",,,
13,48.5,"(291,)",,,
2,48.5,"(518,)",,,
2,48.5,"(743,)",,,
3,48.5,"(760,)",,,
3,48.5,"(731,)",,,
2,48.5,"(679,)",,,
3,48.5,"(677,)",,,
3,48.5,"(384,)",,,
13,48.5,"(422,)",,,
13,48.5,"(27,)",,,
9,48.5,"(468,)",,,
9,48.5,"(532,)",,,
7,48.5,"(450,)",,,
7,48.5,"(325,)",,,
2,48.5,"(67,)",,,
4,48.5,"(480,)",,,
4,48.5,"(622,)",,,
7,48.5,"(120,)",,,
7,48.5,"(481,)",,,
7,48.5,"(631,)",,,
2,48.5,"(448,)","(447,)",,
13,48.5,"(444,)",,,
13,48.5,"(275,)",,,
1,48.5,"(465,)",,,
1,48.5,"(511,)",,,
4,48.5,"(424,)",,,
4,48.5,"(54,)","(52,)","(53,)","(55,)"
1,48.5,"(427,)",,,
1,48.5,"(62,)",,,
7,48.5,"(430,)",,,
2,48.5,"(436,)",,,
2,48.5,"(71,)",,,
7,48.5,"(439,)",,,
7,48.5,"(90,)",,,
2,48.5,"(442,)",,,
2,48.5,"(115,)",,,
1,48.5,"(446,)",,,
1,48.5,"(314,)",,,
28,48.5,"(478,)",,,
28,48.5,"(576,)",,,
7,48.5,"(741,)",,,
10,48.5,"(498,)",,,
10,48.5,"(763,)",,,
8,48.5,"(491,)",,,
8,48.5,"(717,)","(716,)",,
33,48.5,"(741,)",,,
1,97.0,"(646, 118)",,,
10,48.5,"(15,)",,,
10,48.5,"(408,)","(409,)",,
2,48.5,"(33,)",,,
4,48.5,"(315,)",,,
18,48.5,"(27,)",,,
18,48.5,"(422,)",,,
5,48.5,"(5,)",,,
4,48.5,"(30,)",,,
4,48.5,"(507,)",,,
20,48.5,"(1,)",,,
20,48.5,"(70,)",,,
1,48.5,"(2,)",,,
1,48.5,"(79,)",,,
12,48.5,"(42,)",,,
12,48.5,"(548,)",,,
9,48.5,"(12,)",,,
9,48.5,"(340,)",,,
1,48.5,"(51,)",,,
1,48.5,"(761,)",,,
3,48.5,"(47,)",,,
3,48.5,"(691,)","(692,)",,
2,97.0,"(3, 204)",,,
14,48.5,"(714,)",,,
14,48.5,"(486,)",,,
7,48.5,"(728,)",,,
7,48.5,"(637,)","(633, 592)",,
5,48.5,"(706,)",,,
5,48.5,"(336,)","(337,)",,
1,48.5,"(732,)",,,
1,48.5,"(760,)",,,
9,48.5,"(430,)",,,
13,48.5,"(53,)","(52,)","(54,)","(55,)"
13,48.5,"(425,)",,,
8,48.5,"(57,)",,,
8,48.5,"(696,)",,,
4,48.5,"(5,)",,,
11,48.5,"(273,)",,,
11,48.5,"(443,)",,,
1,48.5,"(276,)",,,
9,48.5,"(282,)",,,
8,48.5,"(291,)",,,
8,48.5,"(755,)",,,
10,48.5,"(265,)",,,
10,48.5,"(361,)",,,
10,48.5,"(263,)","(262,)",,
10,48.5,"(195,)",,,
1,97.0,"(264, 207)",,,
2,48.5,"(216,)",,,
1,48.5,"(168,)",,,
1,48.5,"(118,)",,,
1,97.0,"(213, 476)",,,
4,48.5,"(194,)",,,
4,48.5,"(264,)",,,
2,97.0,"(195, 293)",,,
1,48.5,"(252,)",,,
1,48.5,"(739,)",,,
3,48.5,"(237,)",,,
3,48.5,"(656,)",,,
8,48.5,"(225,)",,,
8,48.5,"(599,)",,,
2,97.0,"(226, 604)",,,
12,48.5,"(204,)",,,
12,48.5,"(350,)",,,
2,48.5,"(244,)",,,
2,48.5,"(734,)",,,
7,48.5,"(248,)",,,
7,48.5,"(735,)",,,
1,48.5,"(221,)",,,
1,48.5,"(525,)",,,
4,48.5,"(80,)",,,
4,48.5,"(2,)",,,
28,48.5,"(87,)",,,
28,48.5,"(438,)",,,
4,48.5,"(104,)",,,
4,48.5,"(749,)",,,
7,48.5,"(86,)",,,
7,48.5,"(298,)",,,
3,48.5,"(61,)",,,
3,48.5,"(427,)",,,
3,48.5,"(64,)",,,
17,48.5,"(630,)",,,
17,48.5,"(481,)",,,
8,48.5,"(638,)",,,
8,48.5,"(728,)",,,
7,48.5,"(70,)",,,
7,48.5,"(0,)",,,
5,48.5,"(71,)",,,
5,48.5,"(434,)",,,
3,48.5,"(401,)",,,
3,48.5,"(23,)",,,
1,48.5,"(419,)",,,
1,48.5,"(463,)",,,
32,48.5,"(121,)",,,
6,48.5,"(126,)","(127,)",,
6,48.5,"(647,)",,,
2,48.5,"(124,)","(123,)",,
2,48.5,"(118,)",,,
2,48.5,"(171,)",,,
17,48.5,"(323,)",,,
17,48.5,"(453,)",,,
4,48.5,"(538,)",,,
5,48.5,"(327,)",,,
5,48.5,"(756,)",,,
15,48.5,"(320,)",,,
15,48.5,"(304,)",,,
30,48.5,"(532,)",,,
30,48.5,"(467,)",,,
7,48.5,"(538,)",,,
24,48.5,"(543,)",,,
24,48.5,"(40,)",,,
61,48.5,"(569,)",,,
61,48.5,"(477,)",,,
3,48.5,"(65,)",,,
5,48.5,"(552,)",,,
5,48.5,"(116,)",,,
5,48.5,"(589,)",,,
5,48.5,"(651,)",,,
2,48.5,"(758,)",,,
25,48.5,"(558,)",,,
25,48.5,"(308,)",,,
7,48.5,"(590,)",,,
7,48.5,"(726,)",,,
1,48.5,"(611,)",,,
1,48.5,"(686,)",,,
4,48.5,"(608,)",,,
8,48.5,"(282,)",,,
7,48.5,"(606,)",,,
2,48.5,"(613,)",,,
1,48.5,"(124,)","(123,)",,
7,48.5,"(115,)",,,
7,48.5,"(442,)",,,
4,48.5,"(116,)",,,
4,48.5,"(552,)",,,
3,48.5,"(504,)",,,
3,48.5,"(30,)",,,
12,48.5,"(512,)",,,
12,48.5,"(465,)",,,
6,48.5,"(276,)",,,
2,48.5,"(518,)",,,
2,48.5,"(215,)",,,
2,48.5,"(622,)",,,
2,48.5,"(480,)",,,
3,48.5,"(342,)",,,
3,48.5,"(12,)",,,
4,48.5,"(368,)",,,
4,48.5,"(318,)",,,
2,48.5,"(383,)",,,
1,48.5,"(380,)",,,
1,48.5,"(349,)",,,
1,48.5,"(209,)",,,
1,97.0,"(349, 215)",,,
5,48.5,"(734,)",,,
5,48.5,"(244,)",,,
3,48.5,"(295,)",,,
3,48.5,"(10,)",,,
2,48.5,"(303,)",,,
2,48.5,"(320,)",,,
3,48.5,"(302,)",,,
3,48.5,"(84,)",,,
2,48.5,"(310,)",,,
2,48.5,"(556,)",,,
1,48.5,"(762,)",,,
1,48.5,"(49,)",,,
42,48.5,"(763,)",,,
42,48.5,"(496,)",,,
1,48.5,"(217,)",,,
3,48.5,"(314,)",,,
3,48.5,"(446,)",,,
1,48.5,"(315,)",,,
2,48.5,"(380,)",,,
3,48.5,"(526,)",,,
3,48.5,"(220,)",,,
4,48.5,"(663,)",,,
3,54.0,"(737,)",,,
4,54.0,"(381,)",,,
1,54.0,"(541,)",,,
1,54.0,"(756,)",,,
1,54.0,"(328,)",,,
9,54.0,"(755,)",,,
9,54.0,"(292,)",,,
1,54.0,"(519,)",,,
2,54.0,"(759,)",,,
2,54.0,"(757,)",,,
2,54.0,"(389,)",,,
7,54.0,"(760,)",,,
7,54.0,"(731,)",,,
2,54.0,"(286,)",,,
2,54.0,"(687,)",,,
2,54.0,"(611,)",,,
2,54.0,"(678,)",,,
2,54.0,"(384,)",,,
1,54.0,"(531,)",,,
4,54.0,"(422,)",,,
4,54.0,"(27,)",,,
1,54.0,"(463,)",,,
1,54.0,"(418,)",,,
29,54.0,"(470,)",,,
29,54.0,"(532,)",,,
26,54.0,"(451,)",,,
26,54.0,"(322,)",,,
5,54.0,"(67,)",,,
9,54.0,"(119,)",,,
3,54.0,"(481,)",,,
3,54.0,"(627,)",,,
1,54.0,"(443,)",,,
1,54.0,"(275,)",,,
7,54.0,"(465,)",,,
7,54.0,"(511,)",,,
10,54.0,"(424,)",,,
10,54.0,"(54,)","(52,)","(53,)","(55,)"
3,54.0,"(429,)",,,
3,54.0,"(62,)",,,
3,54.0,"(430,)",,,
1,54.0,"(434,)",,,
1,54.0,"(71,)",,,
7,54.0,"(439,)",,,
7,54.0,"(89,)",,,
7,54.0,"(442,)",,,
7,54.0,"(115,)",,,
2,54.0,"(446,)",,,
2,54.0,"(314,)",,,
7,54.0,"(477,)",,,
7,54.0,"(563,)",,,
5,54.0,"(741,)",,,
5,54.0,"(500,)",,,
5,54.0,"(763,)",,,
3,54.0,"(484,)","(485,)",,
3,54.0,"(717,)","(716,)",,
9,54.0,"(741,)",,,
2,108.0,"(646, 118)",,,
1,54.0,"(647,)",,,
1,54.0,"(126,)","(127,)",,
1,54.0,"(640,)",,,
1,54.0,"(94,)",,,
7,54.0,"(15,)",,,
7,54.0,"(399,)",,,
7,54.0,"(34,)",,,
3,54.0,"(316,)",,,
7,54.0,"(29,)",,,
7,54.0,"(423,)",,,
7,54.0,"(5,)",,,
4,54.0,"(30,)",,,
4,54.0,"(504,)",,,
1,54.0,"(1,)",,,
1,54.0,"(69,)",,,
10,54.0,"(39,)",,,
10,54.0,"(542,)",,,
10,54.0,"(12,)",,,
10,54.0,"(342,)",,,
2,54.0,"(49,)",,,
2,54.0,"(761,)",,,
1,54.0,"(6,)",,,
1,54.0,"(295,)",,,
1,54.0,"(3,)",,,
1,54.0,"(158,)",,,
1,54.0,"(714,)",,,
1,54.0,"(484,)","(485,)",,
6,54.0,"(430,)",,,
2,54.0,"(743,)",,,
4,54.0,"(55,)","(52,)","(53,)","(54,)"
4,54.0,"(425,)",,,
2,54.0,"(57,)",,,
2,54.0,"(697,)",,,
1,54.0,"(520,)",,,
5,54.0,"(5,)",,,
2,54.0,"(283,)",,,
2,54.0,"(275,)",,,
2,54.0,"(443,)",,,
3,54.0,"(276,)",,,
1,54.0,"(279,)",,,
1,54.0,"(555,)",,,
1,54.0,"(282,)",,,
4,54.0,"(290,)",,,
4,54.0,"(755,)",,,
2,54.0,"(265,)",,,
2,54.0,"(361,)",,,
6,54.0,"(263,)","(262,)",,
6,54.0,"(194,)",,,
1,54.0,"(216,)",,,
2,54.0,"(169,)",,,
2,54.0,"(118,)",,,
2,54.0,"(196,)",,,
2,54.0,"(264,)",,,
2,54.0,"(215,)",,,
3,54.0,"(164,)",,,
3,54.0,"(114,)",,,
1,54.0,"(210,)",,,
1,54.0,"(421,)",,,
5,54.0,"(521,)",,,
3,54.0,"(236,)",,,
3,54.0,"(654,)",,,
4,54.0,"(229,)",,,
4,54.0,"(599,)",,,
2,54.0,"(257,)",,,
2,54.0,"(752,)",,,
5,54.0,"(207,)",,,
5,54.0,"(359,)",,,
4,54.0,"(248,)",,,
4,54.0,"(735,)",,,
3,54.0,"(221,)",,,
3,54.0,"(526,)",,,
11,54.0,"(89,)",,,
11,54.0,"(438,)",,,
7,54.0,"(94,)",,,
7,54.0,"(643,)",,,
3,54.0,"(104,)",,,
3,54.0,"(746,)",,,
5,54.0,"(85,)",,,
5,54.0,"(301,)",,,
4,54.0,"(61,)",,,
4,54.0,"(428,)",,,
7,54.0,"(628,)",,,
7,54.0,"(481,)",,,
1,108.0,"(631, 492)",,,
2,54.0,"(68,)",,,
2,54.0,"(0,)",,,
5,54.0,"(72,)",,,
5,54.0,"(433,)",,,
8,54.0,"(419,)",,,
8,54.0,"(461,)",,,
1,108.0,"(418, 489)",,,
25,54.0,"(121,)",,,
5,54.0,"(125,)",,,
5,54.0,"(646,)",,,
1,54.0,"(124,)","(123,)",,
1,54.0,"(118,)",,,
1,54.0,"(169,)",,,
1,54.0,"(332,)",,,
1,54.0,"(559,)",,,
24,54.0,"(321,)",,,
24,54.0,"(453,)",,,
2,54.0,"(538,)",,,
3,54.0,"(327,)",,,
3,54.0,"(756,)",,,
7,54.0,"(320,)",,,
7,54.0,"(303,)",,,
3,54.0,"(35,)",,,
7,54.0,"(537,)",,,
7,54.0,"(470,)",,,
17,108.0,"(532, 483)",,,
1,54.0,"(538,)",,,
8,54.0,"(543,)",,,
8,54.0,"(39,)",,,
45,54.0,"(564,)",,,
45,54.0,"(477,)",,,
1,108.0,"(573, 489)",,,
2,54.0,"(64,)",,,
8,54.0,"(552,)",,,
8,54.0,"(117,)",,,
6,54.0,"(586,)",,,
6,54.0,"(652,)","(653,)",,
1,54.0,"(596,)",,,
1,54.0,"(738,)",,,
4,54.0,"(759,)",,,
7,54.0,"(558,)",,,
7,54.0,"(312,)",,,
2,54.0,"(612,)",,,
2,54.0,"(686,)",,,
3,54.0,"(608,)",,,
6,108.0,"(608, 492)",,,
4,54.0,"(282,)",,,
2,54.0,"(609,)",,,
1,54.0,"(605,)",,,
1,54.0,"(614,)",,,
8,54.0,"(602,)",,,
8,54.0,"(226,)",,,
14,54.0,"(115,)",,,
14,54.0,"(442,)",,,
19,54.0,"(116,)",,,
19,54.0,"(552,)",,,
4,54.0,"(345,)",,,
3,54.0,"(110,)","(109,)",,
3,54.0,"(159,)",,,
6,54.0,"(508,)",,,
6,54.0,"(30,)",,,
32,54.0,"(510,)",,,
32,54.0,"(465,)",,,
5,54.0,"(276,)",,,
5,54.0,"(515,)",,,
6,54.0,"(609,)",,,
2,54.0,"(519,)",,,
2,54.0,"(215,)",,,
2,54.0,"(384,)",,,
2,54.0,"(677,)",,,
5,54.0,"(361,)",,,
5,54.0,"(265,)",,,
2,54.0,"(344,)",,,
7,54.0,"(381,)",,,
1,54.0,"(380,)",,,
2,108.0,"(355, 198)",,,
1,54.0,"(354,)",,,
1,54.0,"(208,)",,,
2,54.0,"(734,)",,,
2,54.0,"(243,)",,,
5,54.0,"(297,)",,,
5,54.0,"(10,)",,,
1,54.0,"(306,)",,,
1,54.0,"(320,)",,,
8,54.0,"(762,)",,,
8,54.0,"(48,)",,,
14,54.0,"(763,)",,,
14,54.0,"(501,)","(502,)",,
1,54.0,"(218,)",,,
9,54.0,"(314,)",,,
9,54.0,"(446,)",,,
2,54.0,"(317,)",,,
5,54.0,"(531,)",,,
1,54.0,"(380,)",,,
2,54.0,"(525,)",,,
2,54.0,"(221,)",,,
1,108.0,"(654, 216)",,,
1,54.0,"(654,)",,,
1,54.0,"(237,)",,,
1,278.0,"(47,)",,,
1,278.0,"(689,)",,,
3,278.0,"(595,)",,,
3,278.0,"(720,)",,,
1,278.0,"(32,)",,,
1,264.5,"(728,)",,,
1,264.5,"(635,)","(636,)",,
1,264.5,"(635,)","(636,)",,
1,264.5,"(728,)",,,
1,365.0,"(539,)",,,
1,365.0,"(679,)",,,
5,365.0,"(59,)",,,
5,365.0,"(696,)",,,
1,365.0,"(240,)",,,
1,365.0,"(671,)",,,
1,365.0,"(212,)",,,
1,365.0,"(586,)",,,
1,365.0,"(651,)",,,
4,365.0,"(590,)",,,
4,365.0,"(724,)",,,
4,365.0,"(763,)",,,
4,365.0,"(499,)",,,
1,89.0,"(736,)",,,
1,89.0,"(289,)",,,
5,89.0,"(614,)",,,
2,89.0,"(735,)",,,
2,89.0,"(248,)",,,
1,89.0,"(755,)",,,
1,89.0,"(294,)",,,
6,89.0,"(759,)",,,
7,89.0,"(760,)",,,
7,89.0,"(733,)",,,
1,89.0,"(753,)",,,
1,89.0,"(257,)",,,
1,89.0,"(688,)",,,
1,89.0,"(611,)",,,
1,89.0,"(422,)",,,
1,89.0,"(28,)",,,
7,89.0,"(67,)",,,
1,89.0,"(444,)",,,
1,89.0,"(275,)",,,
2,89.0,"(426,)",,,
2,89.0,"(55,)","(52,)","(53,)","(54,)"
1,89.0,"(427,)",,,
1,89.0,"(62,)",,,
4,89.0,"(430,)",,,
1,89.0,"(440,)",,,
1,89.0,"(90,)",,,
2,89.0,"(457,)",,,
2,89.0,"(370,)",,,
1,89.0,"(483,)",,,
1,89.0,"(716,)","(717,)",,
1,178.0,"(646, 118)",,,
1,89.0,"(647,)",,,
1,89.0,"(126,)","(127,)",,
2,89.0,"(644,)",,,
2,89.0,"(96,)",,,
1,89.0,"(15,)",,,
1,89.0,"(407,)",,,
1,89.0,"(317,)",,,
1,89.0,"(40,)",,,
1,89.0,"(547,)",,,
6,89.0,"(12,)",,,
6,89.0,"(340,)",,,
8,89.0,"(714,)",,,
8,89.0,"(486,)",,,
5,89.0,"(699,)",,,
5,89.0,"(58,)",,,
2,89.0,"(730,)",,,
2,89.0,"(760,)",,,
1,89.0,"(66,)",,,
2,89.0,"(54,)","(52,)","(53,)","(55,)"
2,89.0,"(426,)",,,
2,89.0,"(283,)",,,
1,89.0,"(276,)",,,
3,89.0,"(277,)",,,
8,89.0,"(265,)",,,
8,89.0,"(361,)",,,
1,89.0,"(158,)",,,
1,89.0,"(3,)",,,
1,89.0,"(216,)",,,
2,89.0,"(240,)",,,
2,89.0,"(667,)",,,
2,89.0,"(199,)",,,
2,89.0,"(194,)",,,
2,89.0,"(264,)",,,
1,89.0,"(215,)",,,
3,89.0,"(167,)",,,
4,89.0,"(210,)",,,
4,89.0,"(421,)",,,
1,89.0,"(211,)",,,
1,89.0,"(222,)",,,
2,89.0,"(521,)",,,
3,89.0,"(236,)",,,
3,89.0,"(657,)",,,
2,89.0,"(539,)",,,
2,89.0,"(206,)",,,
2,89.0,"(359,)",,,
2,89.0,"(220,)",,,
2,89.0,"(525,)",,,
4,89.0,"(87,)",,,
4,89.0,"(439,)",,,
10,89.0,"(102,)",,,
10,89.0,"(750,)",,,
2,89.0,"(343,)",,,
1,89.0,"(84,)",,,
1,89.0,"(300,)",,,
1,89.0,"(364,)",,,
1,89.0,"(625,)",,,
1,89.0,"(231,)",,,
8,89.0,"(119,)",,,
3,89.0,"(538,)",,,
3,89.0,"(550,)",,,
3,89.0,"(37,)",,,
9,89.0,"(578,)",,,
9,89.0,"(479,)",,,
1,178.0,"(573, 489)",,,
1,89.0,"(583,)",,,
1,89.0,"(633,)",,,
1,89.0,"(589,)",,,
1,89.0,"(648,)",,,
3,89.0,"(596,)",,,
3,89.0,"(738,)",,,
1,89.0,"(758,)",,,
1,89.0,"(609,)",,,
3,89.0,"(614,)",,,
2,89.0,"(601,)",,,
2,89.0,"(226,)",,,
6,89.0,"(521,)",,,
4,89.0,"(510,)",,,
4,89.0,"(465,)",,,
4,89.0,"(609,)",,,
4,89.0,"(622,)",,,
4,89.0,"(480,)",,,
2,178.0,"(622, 473)",,,
1,89.0,"(341,)",,,
1,89.0,"(12,)",,,
1,89.0,"(361,)",,,
1,89.0,"(265,)",,,
7,89.0,"(376,)","(385, 681)",,
5,89.0,"(391,)",,,
5,89.0,"(757,)",,,
1,89.0,"(295,)",,,
1,89.0,"(9,)",,,
1,89.0,"(305,)",,,
1,89.0,"(320,)",,,
2,89.0,"(302,)",,,
2,89.0,"(84,)",,,
5,89.0,"(763,)",,,
5,89.0,"(498,)",,,
1,89.0,"(219,)",,,
1,89.0,"(314,)",,,
1,89.0,"(446,)",,,
2,89.0,"(318,)",,,
2,89.0,"(366,)",,,
1,178.0,"(318, 351)",,,
5,89.0,"(200,)",,,
5,89.0,"(447,)","(448,)",,
3,89.0,"(663,)",,,
1,89.0,"(654,)",,,
1,89.0,"(236,)",,,
1,59.0,"(614,)",,,
3,59.0,"(735,)",,,
3,59.0,"(247,)",,,
3,59.0,"(381,)",,,
2,59.0,"(756,)",,,
2,59.0,"(328,)",,,
6,59.0,"(755,)",,,
6,59.0,"(292,)",,,
5,59.0,"(518,)",,,
3,59.0,"(746,)",,,
3,59.0,"(104,)",,,
5,59.0,"(758,)",,,
1,59.0,"(757,)",,,
1,59.0,"(390,)",,,
13,59.0,"(760,)",,,
13,59.0,"(733,)",,,
9,59.0,"(676,)",,,
9,59.0,"(384,)",,,
5,59.0,"(531,)",,,
6,59.0,"(423,)",,,
6,59.0,"(27,)",,,
2,59.0,"(458,)",,,
2,59.0,"(420,)",,,
13,59.0,"(467,)",,,
13,59.0,"(535,)",,,
14,59.0,"(454,)",,,
14,59.0,"(324,)",,,
12,59.0,"(67,)",,,
1,59.0,"(480,)",,,
1,59.0,"(622,)",,,
13,59.0,"(119,)",,,
12,59.0,"(481,)",,,
12,59.0,"(630,)",,,
4,59.0,"(445,)",,,
4,59.0,"(274,)",,,
5,59.0,"(465,)",,,
5,59.0,"(510,)",,,
3,59.0,"(424,)",,,
3,59.0,"(54,)","(52,)","(53,)","(55,)"
1,59.0,"(430,)",,,
2,59.0,"(435,)",,,
2,59.0,"(72,)",,,
7,59.0,"(441,)",,,
7,59.0,"(89,)",,,
2,59.0,"(446,)",,,
2,59.0,"(314,)",,,
16,59.0,"(479,)",,,
16,59.0,"(567,)",,,
3,59.0,"(741,)",,,
10,59.0,"(502,)","(501,)",,
10,59.0,"(763,)",,,
13,59.0,"(488,)",,,
13,59.0,"(715,)",,,
3,59.0,"(213,)",,,
9,59.0,"(741,)",,,
1,59.0,"(647,)",,,
1,59.0,"(125,)",,,
2,59.0,"(643,)",,,
2,59.0,"(93,)",,,
4,59.0,"(21,)",,,
4,59.0,"(408,)","(409,)",,
6,59.0,"(34,)",,,
20,59.0,"(28,)",,,
20,59.0,"(423,)",,,
1,59.0,"(5,)",,,
1,59.0,"(31,)",,,
1,59.0,"(507,)",,,
4,59.0,"(1,)",,,
4,59.0,"(69,)",,,
2,59.0,"(41,)",,,
2,59.0,"(542,)",,,
7,59.0,"(9,)",,,
7,59.0,"(296,)",,,
